0; Spr; 0; 0; 833,867
1; Spr; 0; 0; 845,454
2; Spr; 0; 0; 793,537
3; Spr; 4; 1; 659,423
4; Spr; 0; 0; 870,831
5; Spr; 0; 0; 899,218
6; Spr; 0; 0; 790,048
7; Spr; 0; 0; 917,981
8; Spr; 0; 0; 892,649
9; Spr; 122; 48; 566,042
10; Spr; 9; 0; 624,886
11; Spr; 386; 159; 524,521
12; Spr; 19; 1; 609,412
13; Spr; 0; 0; 919,936
14; Spr; 0; 0; 886,788
15; Spr; 0; 0; 905,461
16; Spr; 0; 0; 836,382
17; Spr; 0; 0; 852,611
18; Spr; 0; 0; 850,308
19; Spr; 0; 0; 866,293
20; Spr; 0; 0; 869,584
21; Spr; 14; 1; 603,186
